item_name,barcode,department,entered_by,price,purchase_date
Large Executive Desk - Mahogany,45782356,Management,Sarah Johnson,899.99,2024-01-15
office desk,92847361,Accounting,Mike Chen,245.00,2024-01-20
Standing desk adjustable height,17293846,IT,Alex Rodriguez,556.00,2024-02-01
çalışma masası,83749205,Istanbul Office,Mehmet Özkan,340.00,2024-02-10
Mesa de oficina pequeña,39485726,Madrid Office,Carmen López,298.50,2024-02-15
Desk - white IKEA,72849305,Design Team,Emma Wilson,179.99,2024-03-01
Conference table large,56218394,Conference Room,Admin,1200.00,2024-01-10
meeting table round,84729506,HR,Jennifer Adams,445.00,2024-01-25
Break room table,91735648,Kitchen,Facilities,156.00,2024-02-05
Toplantı masası,28473950,Istanbul Office,Ayşe Demir,678.00,2024-02-20
Mesa reuniones madera,63829174,Madrid Office,Pablo García,567.00,2024-03-10
Side table coffee,19582746,Reception,Lucy Brown,89.99,2024-03-15
sehpa,74839502,Istanbul Office,Fatma Yılmaz,125.00,2024-03-20
Herman Miller Aeron Chair - Size B,83041726,Management,CEO Office,1295.00,2024-01-08
Office chair ergonomic,49582734,Accounting,Mike Chen,234.99,2024-01-22
Gaming chair RGB,75293048,IT,Alex Rodriguez,389.00,2024-02-03
swivel chair black,16839274,Operations,Tom Wilson,145.00,2024-02-12
Sandalye ofis,58472936,Istanbul Office,Mehmet Özkan,198.00,2024-02-18
Silla oficina ergonómica,92746185,Madrid Office,Carmen López,278.50,2024-02-25
chair,37194826,Intern Station,Intern,67.99,2024-03-05
Executive leather chair,68392741,Management,Sarah Johnson,756.00,2024-03-12
Visitor chair set of 2,41827395,Reception,Lucy Brown,234.00,2024-03-18
Task chair adjustable,85037462,Design Team,Emma Wilson,189.00,2024-03-22
Dell OptiPlex 7090,29485736,IT,Alex Rodriguez,1234.00,2024-01-12
computer desktop,73629184,Accounting,Mike Chen,678.90,2024-01-28
Gaming PC RTX 4080,50384729,Design Team,Emma Wilson,2456.00,2024-02-08
Bilgisayar masaüstü,84627391,Istanbul Office,IT Turkey,987.00,2024-02-14
Ordenador sobremesa,15937482,Madrid Office,IT Madrid,834.50,2024-02-22
workstation,67248359,Engineering,David Kim,1845.00,2024-03-02
PC,93517284,Reception,Lucy Brown,456.00,2024-03-08
MacBook Pro M3,74839526,Management,Sarah Johnson,2399.00,2024-01-05
laptop HP,26194837,Sales,Robert Davis,789.00,2024-01-18
portable computer,58372946,Field Sales,Maria Santos,665.00,2024-01-30
Dizüstü bilgisayar,31749582,Istanbul Office,Ahmet Kaya,1234.00,2024-02-06
Portátil Dell,82537419,Madrid Office,Ana Martín,945.00,2024-02-16
notebook Lenovo,47293856,HR,Jennifer Adams,567.99,2024-02-28
Dell UltraSharp 27 4K,95738264,Design Team,Emma Wilson,567.00,2024-01-16
monitor 24 inch,18462739,Accounting,Mike Chen,234.50,2024-01-24
computer screen,63748291,IT,Alex Rodriguez,289.00,2024-02-04
Ekran 32 inç,47291835,Istanbul Office,Mehmet Özkan,445.00,2024-02-11
Monitor gaming,82639174,IT,Alex Rodriguez,678.00,2024-02-19
Pantalla ordenador,39172648,Madrid Office,Carmen López,334.50,2024-02-26
display,75849302,Reception,Lucy Brown,198.00,2024-03-06
LED Desk Lamp USB,51937482,Design Team,Emma Wilson,45.99,2024-01-19
table lamp,84729361,Reception,Lucy Brown,34.50,2024-01-26
reading light,28374915,Library,Admin,67.00,2024-02-07
